"measure","Phase","n","M","SD","Mdn","Min","Max"
"accGlance","Sampling",240,64.0416666666667,20.6007660552747,65,0,100
"accGlance","Optimisation",80,74.9375,21.0408546235922,80,0,100
"accGlance","Final design",16,84.375,15.0416089564913,90,50,100
"accInformed","Sampling",240,65.1875,20.3233858020816,70,0,100
"accInformed","Optimisation",80,73.375,19.2547051622733,75,0,100
"accInformed","Final design",16,85.3125,13.4745129782119,85,65,100
"accPleasant","Sampling",240,63.9791666666667,21.2501435715882,65,5,100
"accPleasant","Optimisation",80,75.125,18.0185382736499,80,30,100
"accPleasant","Final design",16,83.75,19.0175357674612,87.5,35,100
"avgEcoScore","Sampling",240,51.2341666666667,14.0127168533541,53.85,18.8,86.8
"avgEcoScore","Optimisation",80,53.15125,18.6114636903228,50.85,14.8,92.2
"avgEcoScore","Final design",16,65.33125,11.9828610245356,63.1,45.7,87.1
"avgSpeedKmh","Sampling",240,24.01,10.7021633913536,22.1,5,45.9
"avgSpeedKmh","Optimisation",80,19.57375,9.23633090270719,18.25,3.8,43.8
"avgSpeedKmh","Final design",16,30.3,9.54749530854384,29.05,9.1,44.2
"collisions","Sampling",240,2.78333333333333,3.61466870495527,2,0,21
"collisions","Optimisation",80,3.45,4.48316118126654,2,0,24
"collisions","Final design",16,0.625,1.02469507659596,0,0,4
"drivingTimeS","Sampling",240,41.7114583333333,27.1878367763171,34.565,13.77,153.09
"drivingTimeS","Optimisation",80,47.569375,30.9212432137343,40.645,14.61,195.36
"drivingTimeS","Final design",16,29.385625,16.1104789784993,26.33,17.31,84.56
"energy","Sampling",240,35.7543666666667,8.7033696162296,36.541,15.994,58.544
"energy","Optimisation",80,36.955825,10.3237736363972,37.3975,16.232,64.612
"energy","Final design",16,34.3820625,7.53649576809408,37.4025,18.68,44.355
"meanAbsAccel","Sampling",240,1.56590953656878,0.588586310612921,1.50135955358998,0.241151166611896,3.29577820636451
"meanAbsAccel","Optimisation",80,1.5823997830242,0.768465729565805,1.41111857095224,0.190899444444444,3.07160430586488
"meanAbsAccel","Final design",16,1.28617483411478,0.466255400043092,1.33454236759024,0.26345897375266,2.27494585253456
"overallQuality","Sampling",240,66.7223344444444,13.1065572099326,66.8574666666667,34.8289333333333,93.9514666666667
"overallQuality","Optimisation",80,74.6225566666667,12.8326288665482,75.2008666666667,47.8986666666667,95.7581333333333
"overallQuality","Final design",16,82.040725,12.8726123695663,86.734,54.2932,95.1274666666667
"pctHarshAccel","Sampling",240,19.1467164306158,11.3757972995146,19.0117970265029,0.494505494505494,57.007874015748
"pctHarshAccel","Optimisation",80,18.8048736464539,12.6175381945288,15.6457979111003,0.98746676794531,48.2968369829684
"pctHarshAccel","Final design",16,15.8440167866298,9.16929582017601,17.9134074702353,0.520217545519035,32.1428571428571
"taskload","Sampling",240,35.7604166666667,17.8519567459228,32.5,0,90
"taskload","Optimisation",80,25.6875,19.6849192099891,22.5,0,72.5
"taskload","Final design",16,20.3125,22.4884229475227,8.75,0,72.5
