"Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p","Effects","objective","p_holm"
"size_leaf",1.09981804795892,1.40179582206066,0.95,-1.66218479989144,3.86182089580928,0.784577918303521,230,0.433508413519737,"fixed","energy",1
"size_score",1.11197033723021,1.39929188053492,0.95,-1.64509891507358,3.86903958953401,0.794666468589189,230,0.427626760460124,"fixed","energy",1
"size_feedback",-0.69316088923121,1.42352385707902,0.95,-3.49797517484909,2.11165339638667,-0.486933103217203,230,0.626769454263235,"fixed","energy",1
"size_speed",-0.5286793948453,1.4054552885948,0.95,-3.29789260588113,2.24053381619053,-0.376162371820367,230,0.70714293311802,"fixed","energy",1
"size_accel",-1.23988412409958,1.46477459033631,0.95,-4.1259760401252,1.64620779192605,-0.846467526320823,230,0.398171822730977,"fixed","energy",1
"size_labels",-3.53998520833463,1.51249417097296,0.95,-6.52010053029598,-0.559869886373267,-2.34049510819432,230,0.020114057473672,"fixed","energy",0.140798402315704
"opacity",3.50388841301699,1.50323699632065,0.95,0.542012796403822,6.46576402963015,2.33089554181621,230,0.0206243588402716,"fixed","energy",0.140798402315704
"size_leaf",0.909607527488382,3.50715773258096,0.95,-6.00065678690325,7.81987184188002,0.259357461752651,230,0.795591436699398,"fixed","taskload",1
"size_score",7.36045156872185,3.50195061691387,0.95,0.460446999776194,14.2604561376675,2.10181478093152,230,0.0366575995428017,"fixed","taskload",0.21994559725681
"size_feedback",11.4116259394327,3.55058939427049,0.95,4.41578684204805,18.4074650368174,3.21400890732322,230,0.00149664493949309,"fixed","taskload",0.0104765145764517
"size_speed",-0.624192773602041,3.52116053158369,0.95,-7.56204724778355,6.31366170057947,-0.177269047520904,230,0.85945307356216,"fixed","taskload",1
"size_accel",-3.17886789842457,3.65998959099532,0.95,-10.3902616794187,4.03252588256956,-0.868545611781395,230,0.386001095006042,"fixed","taskload",1
"size_labels",-2.18837244035845,3.78375124868569,0.95,-9.64361774781311,5.26687286709621,-0.578360546592114,230,0.563586596092291,"fixed","taskload",1
"opacity",1.18545676797623,3.76291397517706,0.95,-6.22873219741595,8.5996457333684,0.315036903792213,230,0.753019262888808,"fixed","taskload",1
"size_leaf",3.08110952976541,3.94236635618916,0.95,-4.68666016372477,10.8488792232556,0.781538104628036,230,0.435289822438948,"fixed","accInformed",1
"size_score",1.34162654648985,3.93620092936366,0.95,-6.41399521063026,9.09724830360996,0.340843003333863,230,0.733532911814781,"fixed","accInformed",1
"size_feedback",9.77526051074557,3.99443057683974,0.95,1.90490702905674,17.6456139924344,2.44722253214861,230,0.0151456735059891,"fixed","accInformed",0.106019714541923
"size_speed",8.99422001723705,3.95666974882737,0.95,1.19826789476618,16.7901721397079,2.27317936249359,230,0.0239385859881418,"fixed","accInformed",0.143631515928851
"size_accel",-2.13827724342236,4.11557742521023,0.95,-10.2473302096877,5.97077572284299,-0.51955704449252,230,0.603871979564575,"fixed","accInformed",1
"size_labels",-2.75348179558671,4.25339727276516,0.95,-11.1340855864775,5.62712199530403,-0.647360596485421,230,0.518044191691962,"fixed","accInformed",1
"opacity",-2.46079987629918,4.22928359274275,0.95,-10.7938917172712,5.87229196467283,-0.581847923492715,230,0.561238974592525,"fixed","accInformed",1
"size_leaf",8.84480695298654,4.01427807332965,0.95,0.935347318343677,16.7542665876294,2.20333688683659,230,0.0285631094034188,"fixed","accPleasant",0.175192141742915
"size_score",-9.04057217749758,4.00780718424937,0.95,-16.9372820137842,-1.14386234121093,-2.25574029934048,230,0.0250274488204165,"fixed","accPleasant",0.175192141742915
"size_feedback",-0.255938866871098,4.06929110805226,0.95,-8.27379243177221,7.76191469803002,-0.0628951972407796,230,0.949904583801746,"fixed","accPleasant",1
"size_speed",5.83560394616801,4.02795610886387,0.95,-2.10080595648392,13.7720138488199,1.44877545545401,230,0.148762259723151,"fixed","accPleasant",0.743811298615756
"size_accel",0.602145791457382,4.19151707927253,0.95,-7.65653348805842,8.86082507097318,0.143658198229718,230,0.885896167622525,"fixed","accPleasant",1
"size_labels",1.9643412307603,4.33105059667656,0.95,-6.56926537153351,10.4979478330541,0.453548437477881,230,0.650581501920019,"fixed","accPleasant",1
"opacity",-1.37118018575907,4.30607178027948,0.95,-9.8555702324469,7.11320986092876,-0.318429477195124,230,0.750448139419752,"fixed","accPleasant",1
"size_leaf",-3.20673189302661,4.22481860159005,0.95,-11.5310262200631,5.11756243400982,-0.75902238543916,230,0.448616327253294,"fixed","accGlance",1
"size_score",-4.89710414715531,4.21888653466093,0.95,-13.2097103342401,3.41550203992949,-1.16075749061331,230,0.246943882528732,"fixed","accGlance",1
"size_feedback",-3.44032188359098,4.27358576226607,0.95,-11.8607036967998,4.98005992961784,-0.805019970341427,230,0.421639550402342,"fixed","accGlance",1
"size_speed",5.25328879331195,4.24325964993253,0.95,-3.10734051720619,13.6139181038301,1.23803142553284,230,0.216966637276268,"fixed","accGlance",1
"size_accel",-5.68752150797507,4.40736811450862,0.95,-14.3714989405109,2.99645592456073,-1.29045756111279,230,0.198187610258292,"fixed","accGlance",1
"size_labels",0.284553327779279,4.55787998731578,0.95,-8.69598243000361,9.26508908556217,0.0624310707107622,230,0.950273772186204,"fixed","accGlance",1
"opacity",2.25854567856303,4.53353632833539,0.95,-6.67402499445302,11.1911163515791,0.49818629762526,230,0.618828773609896,"fixed","accGlance",1
