"participant","source_round","source_phase","param_distance","source_isPareto","energy__source","taskload__source","accInformed__source","accPleasant__source","accGlance__source","energy__retest","taskload__retest","accInformed__retest","accPleasant__retest","accGlance__retest"
"P01",9,"Sampling",0,TRUE,31.014,32.5,65,90,85,44.355,52.5,70,60,50
"P02",19,"Optimisation",0,TRUE,45.152,0,100,100,100,38.678,0,100,100,100
"P03",5,"Sampling",0,TRUE,37.901,10,95,90,100,44.105,7.5,85,90,90
"P04",20,"Optimisation",0,TRUE,16.607,7.5,95,90,85,22.432,2.5,100,95,95
"P05",10,"Sampling",0,TRUE,35.457,15,90,90,90,37.126,10,95,95,95
"P06",20,"Optimisation",0,TRUE,32.479,15,80,70,85,34.885,7.5,95,80,95
"P07",17,"Optimisation",0,TRUE,22.09,22.5,90,85,90,24.15,25,85,85,75
"P08",4,"Sampling",0,TRUE,19.444,37.5,65,55,60,39.051,72.5,70,35,65
"P09",18,"Optimisation",0,TRUE,31.142,37.5,85,80,90,37.679,20,100,100,90
"P10",1,"Sampling",0,TRUE,32.208,15,90,90,90,37.98,5,80,100,95
"P11",17,"Optimisation",0,TRUE,37.597,5,95,95,95,38.038,0,100,100,90
"P12",19,"Optimisation",0,TRUE,31.814,0,100,100,100,36.544,0,100,100,100
"P13",15,"Sampling",0,TRUE,31.117,5,90,90,90,38.173,5,80,85,90
"P14",2,"Sampling",0,TRUE,21.986,17.5,70,65,65,30.578,30,65,80,60
"P15",12,"Sampling",0,TRUE,22.65,25,80,85,85,27.659,52.5,65,55,85
"P16",19,"Optimisation",0,TRUE,20.437,35,70,75,80,18.68,35,75,80,75
