"participant","size_leaf","size_score","size_feedback","size_speed","size_accel","size_labels","opacity"
"P01",0.953,0.666,0.066,0.773,0.382,0.595,0.582
"P02",0.646,0.461,0.279,0.716,0.422,0.823,0.845
"P03",0.792,0.294,0.343,0.25,0.232,0.806,0.526
"P04",0.441,0.263,0.639,1,1,0.398,0
"P05",0.554,0.143,0.921,0.528,0.551,0.867,0.713
"P06",0.2,0.498,0.564,0.839,0.857,0.396,0.137
"P07",0.406,0.248,0.847,0.212,0.622,0.144,0.512
"P08",0.607,0.192,0.033,0.115,0.732,0.724,0.729
"P09",1,0.216,1,0.152,0.491,0.01,0.639
"P10",0.58,0.571,0.548,0.748,0.464,0.205,0.093
"P11",1,0.307,0.299,0.081,1,0.071,1
"P12",0,0.359,0.311,1,0.275,0.385,0.14
"P13",0.798,0.675,0.343,0.092,0.057,0.221,0.105
"P14",0.471,0.071,0.125,0.212,0.396,0.683,0.473
"P15",0.001,0.161,0.485,0.591,0.421,0.825,0.021
"P16",0.552,0.768,0.331,0.386,0.436,0.973,0.331
