"objective","baseline","M_final","M_baseline","M_improvement","SD_improvement","n_better","n","V","p_wilcox","t","df","p_t","d"
"energy","matched_route",34.3820625,33.95234375,-0.429718749999998,5.67552645860203,8,16,62,0.781951904296875,-0.302857367072055,15,0.766158091225229,-0.0757143417680136
"taskload","matched_route",20.3125,36.09375,15.78125,18.8448987350246,13,16,117,0.008880615234375,3.34971287920362,15,0.00438792519608564,0.837428219800904
"accInformed","matched_route",85.3125,65.546875,19.765625,17.2434694763941,15,16,135,0.00006103515625,4.58506915375905,15,0.000357412826779663,1.14626728843976
"accPleasant","matched_route",83.75,67.109375,16.640625,19.6464519167372,12,16,120,0.00445556640625,3.38801633404829,15,0.00405630716497377,0.847004083512073
"accGlance","matched_route",84.375,66.171875,18.203125,15.165536244503,14,16,128,0.000732421875,4.80118202390583,15,0.000233345558569478,1.20029550597646
"energy","mean_sampling",34.3820625,35.7543666666667,1.37230416666667,4.85440273370664,10,16,91,0.252227783203125,1.13077075961419,15,0.275907984592456,0.282692689903548
"taskload","mean_sampling",20.3125,35.7604166666667,15.4479166666667,20.1797220138325,13,16,116,0.01080322265625,3.06206728835564,15,0.00790641297609231,0.76551682208891
"accInformed","mean_sampling",85.3125,65.1875,20.125,14.5850633894431,14,16,133,0.000152587890625,5.5193452267247,15,0.0000588814620581487,1.37983630668117
"accPleasant","mean_sampling",83.75,63.9791666666667,19.7708333333333,19.0813924291975,13,16,125,0.001678466796875,4.14452632986696,15,0.000864645344294405,1.03613158246674
"accGlance","mean_sampling",84.375,64.0416666666667,20.3333333333333,14.4969984121874,14,16,132.5,0.00018310546875,5.6103567801289,15,0.0000496875153631559,1.40258919503223
"energy","mean_all",34.3820625,36.05473125,1.67266875,4.30820073789028,10,16,97,0.14385986328125,1.5530091114734,15,0.141262096438468,0.388252277868349
"taskload","mean_all",20.3125,33.2421875,12.9296875,18.3068161685523,13,16,114,0.0152587890625,2.82510893886853,15,0.0127943977165144,0.706277234717133
"accInformed","mean_all",85.3125,67.234375,18.078125,13.3121870072752,14,16,133,0.000152587890625,5.43205259665303,15,0.0000693659019960172,1.35801314916326
"accPleasant","mean_all",83.75,66.765625,16.984375,16.9333174417576,13,16,126,0.001312255859375,4.01206085184855,15,0.00113122850626303,1.00301521296214
"accGlance","mean_all",84.375,66.765625,17.609375,12.6599660182535,14,16,132,0.000213623046875,5.563798504549,15,0.000054188309472574,1.39094962613725
"energy","best_sampling",34.3820625,27.09725,-7.2848125,5.778844419879,1,16,4,0.000213623046875,-5.04240084743623,15,0.000145893947234787,-1.26060021185906
"taskload","best_sampling",20.3125,16.5625,-3.75,16.8077363139716,8,16,63,0.8692626953125,-0.892446175963095,15,0.386247306076018,-0.223111543990774
"accInformed","best_sampling",85.3125,86.25,-0.9375,12.0026038841578,7,16,61,0.873779296875,-0.312432205227535,15,0.759013394374257,-0.0781080513068838
"accPleasant","best_sampling",83.75,87.1875,-3.4375,14.9129418068111,6,16,56,0.7353515625,-0.922017947774736,15,0.371112127316677,-0.230504486943684
"accGlance","best_sampling",84.375,86.875,-2.5,10.4880884817015,3,16,36,0.4609375,-0.953462589245592,15,0.355469108953518,-0.238365647311398
