"participant","round","Phase","hv_cum"
"P01",1,"Sampling",0.023449536
"P01",2,"Sampling",0.211307712
"P01",3,"Sampling",0.211575851666667
"P01",4,"Sampling",0.211575851666667
"P01",5,"Sampling",0.248931093854167
"P01",6,"Sampling",0.248931093854166
"P01",7,"Sampling",0.248931093854166
"P01",8,"Sampling",0.248931093854166
"P01",9,"Sampling",0.3161208318125
"P01",10,"Sampling",0.316120831812499
"P01",11,"Sampling",0.316120831812499
"P01",12,"Sampling",0.31612083181246
"P01",13,"Sampling",0.3161208318125
"P01",14,"Sampling",0.321652246583333
"P01",15,"Sampling",0.321652246583333
"P01",16,"Optimisation",0.321652246583333
"P01",17,"Optimisation",0.321652246583333
"P01",18,"Optimisation",0.321652246583333
"P01",19,"Optimisation",0.321652246583333
"P01",20,"Optimisation",0.321652246583333
"P02",1,"Sampling",0.173931975
"P02",2,"Sampling",0.19758825
"P02",3,"Sampling",0.202517174
"P02",4,"Sampling",0.213217526
"P02",5,"Sampling",0.2273407065
"P02",6,"Sampling",0.227340706500001
"P02",7,"Sampling",0.287912258125
"P02",8,"Sampling",0.296109208791664
"P02",9,"Sampling",0.422344548479156
"P02",10,"Sampling",0.428209364479187
"P02",11,"Sampling",0.432356902479114
"P02",12,"Sampling",0.432356902479285
"P02",13,"Sampling",0.4337893028125
"P02",14,"Sampling",0.4337893028125
"P02",15,"Sampling",0.4337893028125
"P02",16,"Optimisation",0.4337902128125
"P02",17,"Optimisation",0.4353420148125
"P02",18,"Optimisation",0.5120620288125
"P02",19,"Optimisation",0.720414846145833
"P02",20,"Optimisation",0.720414846145833
"P03",1,"Sampling",0.25847667
"P03",2,"Sampling",0.26044057
"P03",3,"Sampling",0.2883988125
"P03",4,"Sampling",0.298911133
"P03",5,"Sampling",0.578559254999999
"P03",6,"Sampling",0.578559254999999
"P03",7,"Sampling",0.600991799999997
"P03",8,"Sampling",0.600991800000005
"P03",9,"Sampling",0.606007623749985
"P03",10,"Sampling",0.606007623750006
"P03",11,"Sampling",0.606309642999953
"P03",12,"Sampling",0.606309643000031
"P03",13,"Sampling",0.6063741325
"P03",14,"Sampling",0.607012576
"P03",15,"Sampling",0.607012576
"P03",16,"Optimisation",0.607012576
"P03",17,"Optimisation",0.60757371625
"P03",18,"Optimisation",0.60757371625
