"participant","round","Phase","PhaseBO","isPareto","energy","taskload","accInformed","accPleasant","accGlance","size_leaf","size_score","size_feedback","size_speed","size_accel","size_labels","opacity","routeCode","avgSpeedKmh","maxSpeedKmh","collisions","maxStuckS","avgEcoScore","tlxMental","tlxDistraction","drivingTimeS","distanceM","sdSpeedKmh","meanAbsAccel","sdAccel","pctHarshAccel","sdThrottle","sdSteer","pctStopped","finalEcoScore","nVisible","speed_alpha","energy_n","taskload_n","accInformed_n","accPleasant_n","accGlance_n","overallQuality"
"P01",1,"Sampling","sampling",FALSE,27.867,60,20,60,60,0.809,0.429,0.885,0.564,0.35,0.863,0.034,"R1",10.7,46,1,0,55.8,60,60,71.34,213.315266436576,13.96166011565,1.09570936098655,2.1910428376545,10.2298206278027,0.293100112029013,0.0175538221922158,34.2208520179372,23.3,3,0.4,0.18578,0.6,0.8,0.4,0.4,52.2844
"P01",2,"Sampling","sampling",TRUE,34.608,25,70,80,65,0.176,0.008,0.82,0.232,0.372,0.801,0.535,"R2",28,47.3,0,0,68.9,20,30,20.86,162.252479881594,16.899510140146,0.919500957854406,1.108878505994,3.06513409961686,0.238752956647302,0.0194120227548323,12.9310344827586,87,2,0.5811,0.23072,0.25,0.3,0.2,0.35,73.3856
"P01",3,"Sampling","sampling",FALSE,31.912,55,35,35,55,0.098,0.609,0.673,0.573,0.557,0.48,0.332,"R3",16.7,43.4,3,0,39.9,75,35,59.17,275.370655382138,13.8865878086831,1.68601419398445,2.76658330238296,17.7086853666779,0.281333488392434,0.296721629541294,14.0925988509632,41.8,4,0.4,0.212746666666667,0.55,0.65,0.65,0.45,49.7450666666667
"P01",4,"Sampling","sampling",FALSE,35.573,47.5,10,15,55,0.457,0.849,0.551,0.019,0.987,0.53,0.947,"R7",13.9,49.8,20,0,29.6,85,10,135.74,523.641505160041,11.9068820204404,2.00187669416618,6.42593200670721,22.5397760754272,0.568625853897743,0.280003577855038,16.0135533294048,41.4,4,0.9524,0.237153333333333,0.475,0.9,0.85,0.45,41.7569333333333
"P01",5,"Sampling","sampling",TRUE,38.803,37.5,75,75,75,0.864,0.723,0.311,0.155,0.893,0.126,0.684,"R1",11.7,46.2,0,0,53.4,45,30,65.75,213.110274479974,15.0447905833602,1.25878375912409,2.50572510005901,15.0851581508516,0.365323019025957,0.00885873903178132,47.2019464720195,53.8,3,0.7155,0.258686666666667,0.375,0.25,0.25,0.25,72.3262666666667
"P01",6,"Sampling","sampling",FALSE,40.108,37.5,40,55,65,0.611,0.65,0.045,0.509,0.199,0.467,0.439,"R2",33.5,51.1,0,0,64.5,35,40,17.46,162.693117627361,17.0165622229129,1.22461327231121,1.38998837937787,8.5812356979405,0.244839774303969,0.0204852682005178,9.1533180778032,61.7,3,0.4948,0.267386666666667,0.375,0.6,0.45,0.35,59.1522666666667
"P01",7,"Sampling","sampling",FALSE,34.943,27.5,40,10,35,0.021,0.995,0.086,0.522,0.897,0.102,0.912,"R3",16.1,47.3,5,0,31.3,40,15,63.4,283.171379333099,14.6617622408311,1.78222768842636,3.37419195300977,20.9082308420057,0.391776368658365,0.162888821886234,31.4727215389467,43.7,2,0.9209,0.232953333333333,0.275,0.6,0.9,0.65,46.8409333333333
"P01",8,"Sampling","sampling",FALSE,36.221,42.5,40,20,50,0.085,0.529,0.722,0.269,0.706,0.534,1,"R7",9.5,37.2,2,0,30.2,45,40,61.76,163.683363131683,9.51616702982001,1.3935003238342,2.96309790026218,11.0751295336788,0.296942182766118,0.337431503832005,27.3963730569948,36.8,4,0.9996,0.241473333333333,0.425,0.6,0.8,0.5,48.6705333333333
"P01",9,"Sampling","sampling",TRUE,31.014,32.5,65,90,85,0.953,0.666,0.066,0.773,0.382,0.595,0.582,"R1",26.4,45.9,0,0,53.8,45,20,28.96,212.718102000743,18.1864800168433,1.67366735679779,2.80632666019175,19.1856452726018,0.325405606617997,0.0079658516555632,17.3913043478261,49.2,3,0.624,0.20676,0.325,0.35,0.1,0.15,77.3648
"P01",10,"Sampling","sampling",FALSE,38.327,42.5,55,35,40,0.41,0.625,0.877,0.696,0.101,0.354,0.402,"R2",36.4,53.2,2,0,56.6,45,40,16.04,162.442991279314,18.7695609468885,1.55936363636364,2.00385522190588,25.653798256538,0.306193631325891,0.0194565501215774,11.332503113325,76.9,2,0.4622,0.255513333333333,0.425,0.45,0.65,0.6,52.3897333333333
