"x","y","r_rm","df","p","CI_low","CI_high","p_holm"
"energy","taskload",-0.0027274230524629,303,0.962165020099,-0.114999668536894,0.109613623726254,1
"energy","accInformed",-0.043454572869655,303,0.449563700081111,-0.155005574353039,0.0691905670304191,1
"energy","accPleasant",-0.00966857228987897,303,0.866453512510374,-0.121843738943541,0.10275047063811,1
"energy","accGlance",0.0136087799502169,303,0.812887828864185,-0.0988497698724857,0.125724098335463,1
"taskload","accInformed",-0.22483934238233,303,0.0000745227290421556,-0.328843149683151,-0.115447040494384,0.000372613645210778
"taskload","accPleasant",-0.510117947316514,303,0.00000000000000000000131293936575576,-0.588698829112948,-0.421986082852413,0.00000000000000000000919057556029033
"taskload","accGlance",-0.500034578593062,303,0.0000000000000000000106276360402291,-0.579782826575724,-0.410796458546901,0.0000000000000000000637658162413747
"accInformed","accPleasant",0.574368406904133,303,0.000000000000000000000000000362299399725986,0.493921787113658,0.645065378840173,0.00000000000000000000000000326069459753388
"accInformed","accGlance",0.539123684871627,303,0.00000000000000000000000214159285965406,0.454324478649515,0.614240365146594,0.0000000000000000000000171327428772325
"accPleasant","accGlance",0.671380645388921,303,0.0000000000000000000000000000000000000000255330228863361,0.604665603227467,0.728740321944263,0.000000000000000000000000000000000000000255330228863361
