"participant","n_pareto","pct_pareto","n_pareto_samp","n_pareto_opt","rate_samp","rate_opt"
"P01",4,20,4,0,0.266666666666667,0
"P02",9,45,6,3,0.4,0.6
"P03",8,40,7,1,0.466666666666667,0.2
"P04",5,25,2,3,0.133333333333333,0.6
"P05",7,35,6,1,0.4,0.2
"P06",3,15,0,3,0,0.6
"P07",7,35,4,3,0.266666666666667,0.6
"P08",9,45,7,2,0.466666666666667,0.4
"P09",9,45,5,4,0.333333333333333,0.8
"P10",2,10,1,1,0.0666666666666667,0.2
"P11",2,10,1,1,0.0666666666666667,0.2
"P12",5,25,4,1,0.266666666666667,0.2
"P13",7,35,4,3,0.266666666666667,0.6
"P14",8,40,5,3,0.333333333333333,0.6
"P15",5,25,1,4,0.0666666666666667,0.8
"P16",3,15,1,2,0.0666666666666667,0.4
