UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;energy;taskload;accInformed;accPleasant;accGlance;size_leaf;size_score;size_feedback;size_speed;size_accel;size_labels;opacity
8;v1;Study;2026-08-22 13:34:22;1;sampling;TRUE;21.993;32.5;60.0;55.0;30.0;0.936;0.07;0.512;0.584;0.975;0.74;0.444
8;v1;Study;2026-08-22 13:35:20;2;sampling;FALSE;29.117;40.0;55.0;45.0;35.0;0.045;0.314;0.73;0.809;0.543;0.906;0.238
8;v1;Study;2026-08-22 13:37:00;3;sampling;TRUE;21.999;40.0;55.0;45.0;65.0;0.265;0.959;0.829;0.195;0.005;0.932;0.07
8;v1;Study;2026-08-22 13:39:13;4;sampling;TRUE;19.444;37.5;65.0;55.0;60.0;0.607;0.192;0.033;0.115;0.732;0.724;0.729
8;v1;Study;2026-08-22 13:40:30;5;sampling;TRUE;33.524;55.0;65.0;60.0;60.0;0.099;0.839;0.925;0.926;0.01;0.661;0.608
8;v1;Study;2026-08-22 13:41:07;6;sampling;TRUE;54.885;30.0;45.0;60.0;65.0;0.874;0.756;0.974;0.349;0.503;0.623;0.511
8;v1;Study;2026-08-22 13:42:13;7;sampling;FALSE;47.456;37.5;30.0;45.0;60.0;0.606;0.702;0.74;0.472;0.415;0.835;0.695
8;v1;Study;2026-08-22 13:43:44;8;sampling;FALSE;49.113;52.5;65.0;40.0;65.0;0.426;0.452;0.46;0.006;0.045;0.078;0.732
8;v1;Study;2026-08-22 13:44:23;9;sampling;FALSE;36.51;35.0;55.0;45.0;60.0;0.078;0.366;0.086;0.07;0.474;0.135;0.34
8;v1;Study;2026-08-22 13:44:51;10;sampling;FALSE;43.633;62.5;60.0;35.0;60.0;0.23;0.709;0.045;0.462;0.091;0.342;0.245
8;v1;Study;2026-08-22 13:46:00;11;sampling;FALSE;41.691;67.5;45.0;45.0;30.0;0.421;0.536;0.937;0.172;0.241;0.422;0.956
8;v1;Study;2026-08-22 13:47:10;12;sampling;TRUE;44.972;37.5;60.0;65.0;65.0;0.841;0.598;0.591;0.9;0.769;0.191;0.149
8;v1;Study;2026-08-22 13:47:50;13;sampling;FALSE;37.962;40.0;65.0;60.0;55.0;0.313;0.04;0.367;0.007;0.254;0.826;0.868
8;v1;Study;2026-08-22 13:48:19;14;sampling;FALSE;44.908;57.5;45.0;35.0;60.0;0.055;0.532;0.186;0.635;0.888;0.327;0.285
8;v1;Study;2026-08-22 13:49:04;15;sampling;TRUE;36.327;40.0;70.0;45.0;30.0;0.693;0.606;0.599;0.132;0.668;0.398;0.361
8;v1;Study;2026-08-22 13:52:35;16;optimization;FALSE;52.325;70.0;55.0;60.0;55.0;0.962;0.973;0.554;0.165;0.718;0.725;0.171
8;v1;Study;2026-08-22 13:55:20;17;optimization;TRUE;35.227;32.5;65.0;60.0;65.0;0.979;0.701;0.925;0.899;1.0;0.331;0.186
8;v1;Study;2026-08-22 13:57:55;18;optimization;FALSE;43.043;47.5;65.0;35.0;60.0;1.0;0.411;0.479;0.182;0.935;0.842;0.535
8;v1;Study;2026-08-22 14:00:50;19;optimization;FALSE;38.112;62.5;65.0;35.0;65.0;0.899;0.531;0.934;1.0;0.425;0.341;0.294
8;v1;Study;2026-08-22 14:03:56;20;optimization;TRUE;36.726;72.5;65.0;30.0;70.0;0.9;0.728;0.988;0.996;0.681;0.296;0.451
8;v1;Study;2026-08-22 14:04:31;21;finaldesign;NULL;39.051;72.5;70;35;65;0.607;0.192;0.033;0.115;0.732;0.724;0.729
