participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P11,1,0.6152,0.0459,0.1178,0.636,0.5895,0.4046,0.4125,0.7998,0.0597,0.1531,1.0452,0.7664,0.526,0.4712,True,False,False,True,False,0.4712
P11,2,0.0836,0.7101,0.0731,0.565,0.7247,0.1148,0.4664,0.1087,0.9231,0.095,0.9955,0.9421,0.1492,0.5198,False,True,False,True,False,0.5198
P11,3,0.9571,0.772,0.0481,0.9916,0.3208,0.0428,0.453,1.2442,1.0036,0.0625,1.2941,0.417,0.0556,0.5077,True,True,False,False,False,0.5077
P11,4,0.4958,0.3448,0.1145,0.3306,0.4753,0.0016,0.3807,0.6445,0.4482,0.1489,0.8314,0.6179,0.0021,0.4426,True,False,False,True,False,0.4426
P11,5,0.1722,0.8353,0.289,0.772,0.6129,0.9691,0.9823,0.2239,1.0859,0.3757,1.1404,0.7968,1.2598,0.9841,False,True,False,True,True,0.9841
P11,6,0.2844,0.0195,0.0672,0.4209,0.271,0.7248,0.2125,0.3697,0.0254,0.0874,0.8946,0.3523,0.9422,0.2913,False,False,False,False,True,0.4
P11,7,0.2848,0.756,0.1006,0.8446,0.6809,0.5219,0.6149,0.3702,0.9828,0.1308,1.1912,0.8852,0.6785,0.6534,False,True,False,True,True,0.6534
P11,8,0.3884,0.4498,0.0127,0.6106,0.6931,0.3547,0.2077,0.5049,0.5847,0.0165,1.0274,0.901,0.4611,0.2869,False,False,False,True,False,0.4
P11,9,0.379,0.2942,0.9771,0.1977,0.1731,0.2572,0.9388,0.4927,0.3825,1.2702,0.7384,0.225,0.3344,0.9449,False,False,True,False,False,0.9449
P11,10,0.1923,0.7383,0.755,0.2488,0.4048,0.9304,0.7164,0.25,0.9598,0.9815,0.7742,0.5262,1.2095,0.7448,False,True,True,False,True,0.7448
P11,11,0.9616,0.2819,0.3471,0.0925,0.7823,0.4875,0.9117,1.2501,0.3665,0.4512,0.6647,1.017,0.6338,0.9205,True,False,False,True,True,0.9205
P11,12,0.7764,0.2636,0.5309,0.3147,0.4964,0.6921,0.324,1.0093,0.3427,0.6902,0.8203,0.6453,0.8997,0.3916,True,False,True,True,True,0.4
P11,13,0.0542,0.3045,0.1055,0.705,0.6401,0.3049,0.5122,0.0705,0.3958,0.1371,1.0935,0.8321,0.3964,0.561,False,False,False,True,False,0.561
P11,14,0.9422,0.0125,0.3872,0.8257,0.723,0.1948,0.999,1.2249,0.0163,0.5034,1.178,0.9399,0.2532,0.9991,True,False,False,True,False,0.9991
P11,15,0.2497,0.0937,0.2802,0.6363,0.9164,0.6147,0.6272,0.3246,0.1218,0.3643,1.0454,1.1913,0.7991,0.6645,False,False,False,True,True,0.6645
P11,16,0.4119,0.7693,0.1495,0.1115,0.8589,0.0,0.568,0.5355,1.0001,0.1943,0.6781,1.1166,0.0,0.6112,False,True,False,True,False,0.6112
P11,17,1.0,0.3069,0.2992,0.0811,1.0,0.0712,1.0,1.3,0.399,0.389,0.6568,1.3,0.0926,1.0,True,False,False,True,False,1.0
P11,18,0.1517,0.7346,0.3247,0.7822,1.0,0.0,0.6976,0.1972,0.955,0.4221,1.1475,1.3,0.0,0.7278,False,True,False,True,False,0.7278
P11,19,1.0,0.6869,0.3305,0.7588,0.8079,0.606,0.7799,1.3,0.893,0.4297,1.1312,1.0503,0.7878,0.8019,True,True,False,True,True,0.8019
P11,20,0.4114,0.3079,0.1024,0.1163,0.8247,1.0,1.0,0.5348,0.4003,0.1331,0.6814,1.0721,1.3,1.0,False,False,False,True,True,1.0
P11,21,1.0,0.307,0.299,0.081,1.0,0.071,1.0,1.3,0.3991,0.3887,0.6567,1.3,0.0923,1.0,True,False,False,True,False,1.0
