round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;14:25:56;115.3;19.0;41.0;1;0.0;31.63;58.9;40.0;60.0;0.8301;0.5224;0.7065;0.9781;0.9471;0.5420;0.1839;20.0;60.0;65.0;70.0;45.0
2;R2 165m Cliveden Place;14:26:44;48.2;22.1;41.5;0;0.0;27.53;68.3;77.5;23.3;0.1090;0.3375;0.9707;0.3970;0.9498;0.9545;0.2770;80.0;75.0;30.0;20.0;20.0
3;R3 283m Basil Street → Hans Road → Brompton Road;14:28:24;100.0;13.4;41.7;7;0.0;27.06;44.8;12.5;83.3;0.5204;0.0219;0.2557;0.8425;0.6694;0.4286;0.4701;25.0;0.0;65.0;100.0;85.0
4;R7 170m Astell Street → Burnsall Street → King's Road;14:30:05;100.6;20.2;50.6;13;0.0;32.64;41.8;70.0;48.3;0.6986;0.5885;0.6391;0.8887;0.5837;0.5350;0.9125;70.0;70.0;80.0;25.0;40.0
5;R1 215m Draycott Place;14:30:57;52.2;27.3;51.8;0;0.0;45.39;48.9;0.0;91.7;0.5063;0.3911;0.0098;0.4853;0.3590;0.7917;0.3066;0.0;0.0;75.0;100.0;100.0
6;R2 165m Cliveden Place;14:31:36;39.1;35.9;52.5;0;0.0;34.24;65.9;90.0;63.3;0.1404;0.5594;0.7797;0.3805;0.5489;0.2040;0.3614;85.0;95.0;100.0;20.0;70.0
7;R3 283m Basil Street → Hans Road → Brompton Road;14:32:26;50.1;31.2;45.7;2;0.0;30.43;64.2;20.0;85.0;0.5478;0.3731;0.0199;0.9206;0.9429;0.9183;0.7493;20.0;20.0;75.0;95.0;85.0
8;R7 170m Astell Street → Burnsall Street → King's Road;14:33:26;59.2;16.5;48.2;7;0.0;45.36;36.7;0.0;100.0;0.2914;0.2867;0.2745;0.9692;0.3585;0.2095;0.3944;0.0;0.0;100.0;100.0;100.0
9;R1 215m Draycott Place;14:34:02;36.4;42.1;53.6;0;0.0;37.72;57.3;30.0;75.0;0.8793;0.8883;0.1575;0.6508;0.5839;0.4279;0.1666;30.0;30.0;100.0;75.0;50.0
10;R2 165m Cliveden Place;14:34:35;33.2;37.7;53.4;0;0.0;34.29;63.7;67.5;73.3;0.9528;0.3601;0.7523;0.8554;0.4802;0.8453;0.1240;35.0;100.0;100.0;70.0;50.0
11;R3 283m Basil Street → Hans Road → Brompton Road;14:35:24;48.3;35.5;52.3;1;0.0;29.79;61.9;30.0;81.7;0.4230;0.6277;0.3356;0.6115;0.8783;0.0038;0.3374;30.0;30.0;90.0;80.0;75.0
12;R7 170m Astell Street → Burnsall Street → King's Road;14:36:02;38.2;32.6;47.7;8;0.0;43.41;60.5;85.0;45.0;0.4372;0.7725;0.6201;0.0487;0.4256;0.2570;0.8772;80.0;90.0;85.0;25.0;25.0
13;R1 215m Draycott Place;14:36:38;35.8;34.3;46.5;0;0.0;33.50;78.2;22.5;80.0;0.4971;0.7166;0.1846;0.1655;0.6437;0.5564;0.6385;25.0;20.0;80.0;75.0;85.0
14;R2 165m Cliveden Place;14:37:34;56.6;39.4;53.4;0;0.0;37.51;59.7;77.5;33.3;0.7908;0.1639;0.7382;0.7406;0.1116;0.6703;0.3907;75.0;80.0;90.0;5.0;5.0
15;R3 283m Basil Street → Hans Road → Brompton Road;14:38:26;51.0;25.4;43.2;4;0.0;26.30;57.9;25.0;86.7;0.7756;0.5449;0.1274;0.1119;0.1453;0.4210;0.1615;25.0;25.0;80.0;90.0;90.0
16;R7 170m Astell Street → Burnsall Street → King's Road;14:40:52;49.7;24.1;38.1;3;0.0;41.63;44.8;0.0;100.0;0.1681;0.1961;0.0933;1.0000;0.1752;0.2574;0.3866;0.0;0.0;100.0;100.0;100.0
17;R1 215m Draycott Place;14:43:06;35.4;31.9;52.9;0;0.0;33.54;50.3;0.0;100.0;0.2349;0.2059;0.1727;0.6855;0.3279;0.1434;0.2257;0.0;0.0;100.0;100.0;100.0
18;R2 165m Cliveden Place;14:45:12;40.1;23.8;50.3;0;0.0;36.68;75.1;0.0;100.0;0.3694;0.2698;0.1434;1.0000;0.2933;0.5763;0.3409;0.0;0.0;100.0;100.0;100.0
19;R3 283m Basil Street → Hans Road → Brompton Road;14:47:30;44.8;32.7;48.9;6;0.0;31.81;73.5;0.0;100.0;0.0000;0.3594;0.3106;1.0000;0.2747;0.3847;0.1397;0.0;0.0;100.0;100.0;100.0
20;R7 170m Astell Street → Burnsall Street → King's Road;14:50:01;59.3;30.2;44.6;8;0.0;34.19;56.9;10.0;75.0;0.0000;0.5731;0.0000;0.5002;0.4157;0.0025;0.4067;5.0;15.0;90.0;60.0;75.0
21;R1 215m Draycott Place;14:50:37;36.5;27.8;46.8;0;0.0;36.54;59.7;0.0;100.0;0.0000;0.3590;0.3110;1.0000;0.2750;0.3850;0.1400;0.0;0.0;100.0;100.0;100.0
