participant,setup,user_id,condition,group,round,phase,isPareto,route,endedAt,driveDurationS,durationInclSurveyS,avgSpeedKmh,maxSpeedKmh,collisions,maxStuckS,energyKwh100km,avgEcoScore,taskLoad,acceptance,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,tlxMental,tlxDistraction,accInformed,accPleasant,accGlance,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P01,motion,-1,-1,-1,1,sampling,False,R1 215m Draycott Place,19:35:03,71,108.4,10.7,46.0,1,0.0,27.87,55.8,60.0,46.7,0.8087,0.4289,0.8848,0.5643,0.3497,0.8625,0.0335,60.0,60.0,20.0,60.0,60.0,1.0513,0.5576,1.1502,0.995,0.4546,1.1213,0.1302,True,False,True,False,True,0.4
P01,motion,-1,-1,-1,2,sampling,True,R2 165m Cliveden Place,19:35:42,20,39.3,28.0,47.3,0,0.0,34.61,68.9,25.0,71.7,0.176,0.0085,0.82,0.2319,0.3719,0.8007,0.5346,20.0,30.0,70.0,80.0,65.0,0.2288,0.0111,1.066,0.7623,0.4835,1.0409,0.5811,False,False,True,False,True,0.5811
P01,motion,-1,-1,-1,3,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,19:36:59,59,77.1,16.7,43.4,3,0.0,31.91,39.9,55.0,41.7,0.0983,0.6085,0.6729,0.5727,0.5574,0.48,0.3324,75.0,35.0,35.0,35.0,55.0,0.1278,0.7911,0.8748,1.0009,0.7246,0.624,0.3992,False,True,True,True,True,0.4
P01,motion,-1,-1,-1,4,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,19:39:34,135,155.0,13.9,49.8,20,0.0,35.57,29.6,47.5,26.7,0.4571,0.8494,0.551,0.0187,0.9873,0.5303,0.9471,85.0,10.0,10.0,15.0,55.0,0.5942,1.1042,0.7163,0.6131,1.2835,0.6894,0.9524,False,True,True,True,True,0.9524
P01,motion,-1,-1,-1,5,sampling,True,R1 215m Draycott Place,19:40:52,65,78.1,11.7,46.2,0,0.0,38.8,53.4,37.5,75.0,0.8637,0.7228,0.3108,0.1549,0.8932,0.1259,0.6839,45.0,30.0,75.0,75.0,75.0,1.1228,0.9396,0.404,0.7084,1.1612,0.1637,0.7155,True,True,False,True,False,0.7155
P01,motion,-1,-1,-1,6,sampling,False,R2 165m Cliveden Place,19:41:21,17,28.6,33.5,51.1,0,0.0,40.11,64.5,37.5,53.3,0.6111,0.6497,0.045,0.5087,0.1985,0.4667,0.4387,35.0,40.0,40.0,55.0,65.0,0.7944,0.8446,0.0585,0.9561,0.2581,0.6067,0.4948,True,True,False,False,True,0.4948
P01,motion,-1,-1,-1,7,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,19:42:40,63,78.5,16.1,47.3,5,0.0,34.94,31.3,27.5,28.3,0.0211,0.9948,0.0863,0.5216,0.8973,0.1019,0.9121,40.0,15.0,40.0,10.0,35.0,0.0274,1.2932,0.1122,0.9651,1.1665,0.1325,0.9209,False,True,False,True,False,0.9209
P01,motion,-1,-1,-1,8,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,19:44:03,61,83.2,9.5,37.2,2,0.0,36.22,30.2,42.5,36.7,0.0851,0.5291,0.7216,0.2686,0.7064,0.5343,0.9996,45.0,40.0,40.0,20.0,50.0,0.1106,0.6878,0.9381,0.788,0.9183,0.6946,0.9996,False,True,True,True,True,0.9996
P01,motion,-1,-1,-1,9,sampling,True,R1 215m Draycott Place,19:44:43,28,40.3,26.4,45.9,0,0.0,31.01,53.8,32.5,80.0,0.9528,0.6658,0.0662,0.7732,0.382,0.5947,0.5822,45.0,20.0,65.0,90.0,85.0,1.2386,0.8655,0.0861,1.1412,0.4966,0.7731,0.624,True,True,False,False,True,0.624
P01,motion,-1,-1,-1,10,sampling,False,R2 165m Cliveden Place,19:45:40,16,56.3,36.4,53.2,2,0.0,38.33,56.6,42.5,43.3,0.41,0.6246,0.877,0.6959,0.1006,0.3543,0.4024,45.0,40.0,55.0,35.0,40.0,0.533,0.812,1.1401,1.0871,0.1308,0.4606,0.4622,False,True,True,False,False,0.4622
P01,motion,-1,-1,-1,11,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,19:46:42,48,62.0,20.5,47.7,2,0.0,35.79,40.5,52.5,26.7,0.1676,0.9122,0.2987,0.7658,0.578,0.7206,0.3371,70.0,35.0,30.0,10.0,40.0,0.2179,1.1859,0.3883,1.1361,0.7514,0.9368,0.4034,False,True,False,True,True,0.4034
P01,motion,-1,-1,-1,12,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,19:48:05,69,82.9,10.3,38.9,10,0.0,53.64,18.8,50.0,53.3,0.9981,0.7637,0.4114,0.9977,0.208,0.2351,0.6782,60.0,40.0,35.0,65.0,60.0,1.2975,0.9928,0.5348,1.2984,0.2704,0.3056,0.7104,True,True,False,False,False,0.7104
P01,motion,-1,-1,-1,13,sampling,False,R1 215m Draycott Place,19:48:51,34,46.4,22.3,51.0,1,0.0,43.63,32.9,47.5,43.3,0.9897,0.5325,0.6964,0.129,0.9317,0.548,0.8717,40.0,55.0,40.0,40.0,50.0,1.2866,0.6923,0.9053,0.6903,1.2112,0.7124,0.8845,True,True,True,True,True,0.8845
P01,motion,-1,-1,-1,14,sampling,True,R2 165m Cliveden Place,19:49:28,19,36.6,30.0,37.6,0,0.0,27.74,68.0,35.0,73.3,0.0801,0.2241,0.5455,0.658,0.3532,0.2911,0.1121,35.0,35.0,70.0,80.0,70.0,0.1041,0.2913,0.7092,1.0606,0.4592,0.3784,0.2009,False,False,True,False,False,0.4
P01,motion,-1,-1,-1,15,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,19:50:55,77,86.7,13.3,52.3,5,0.0,34.9,29.6,27.5,25.0,0.0323,0.2529,0.4021,0.4592,0.9921,0.4301,0.2983,30.0,25.0,30.0,25.0,20.0,0.042,0.3288,0.5227,0.9214,1.2897,0.5591,0.3685,False,False,False,True,False,0.4
P01,motion,-1,-1,-1,16,optimization,False,R7 170m Astell Street → Burnsall Street → King's Road,19:52:15,32,42.3,18.3,44.0,3,0.0,41.58,41.5,40.0,65.0,0.8963,0.7365,0.0071,0.4848,0.6278,0.4274,0.8299,40.0,40.0,70.0,80.0,45.0,1.1652,0.9575,0.0092,0.9394,0.8161,0.5556,0.8469,True,True,False,True,False,0.8469
P01,motion,-1,-1,-1,17,optimization,False,R1 215m Draycott Place,19:53:38,30,41.6,25.1,54.3,0,0.0,38.39,36.4,40.0,50.0,0.9433,0.5707,0.0,0.7342,0.3851,0.7614,0.1889,40.0,40.0,40.0,70.0,40.0,1.2263,0.7419,0.0,1.1139,0.5006,0.9898,0.27,True,True,False,False,True,0.4
P01,motion,-1,-1,-1,18,optimization,False,R2 165m Cliveden Place,19:55:06,33,44.7,17.7,53.6,1,0.0,52.67,26.7,40.0,51.7,0.9154,0.6345,0.1596,0.4237,0.6307,0.1041,0.6042,35.0,45.0,25.0,75.0,55.0,1.19,0.8248,0.2075,0.8966,0.8199,0.1353,0.6438,True,True,False,True,False,0.6438
P01,motion,-1,-1,-1,19,optimization,False,R3 283m Basil Street → Hans Road → Brompton Road,19:56:35,36,47.7,27.1,49.7,4,0.0,34.16,44.3,37.5,61.7,1.0,0.8935,0.0,0.8099,0.473,0.5317,0.6016,35.0,40.0,55.0,65.0,65.0,1.3,1.1616,0.0,1.1669,0.6149,0.6912,0.6414,True,True,False,True,True,0.6414
P01,motion,-1,-1,-1,20,optimization,False,R7 170m Astell Street → Burnsall Street → King's Road,19:58:20,48,61.7,11.8,37.5,1,0.0,35.76,29.2,35.0,73.3,1.0,0.6193,0.0983,0.8431,0.3116,0.6615,0.6243,35.0,35.0,65.0,90.0,65.0,1.3,0.8051,0.1278,1.1902,0.4051,0.8599,0.6619,True,True,False,False,True,0.6619
