participant,setup,user_id,condition,group,round,phase,isPareto,route,endedAt,driveDurationS,durationInclSurveyS,avgSpeedKmh,maxSpeedKmh,collisions,maxStuckS,energyKwh100km,avgEcoScore,taskLoad,acceptance,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,tlxMental,tlxDistraction,accInformed,accPleasant,accGlance,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P09,desk,9,v1,Study,1,sampling,True,R1 215m Draycott Place,19:40:21,25,52.3,30.3,53.5,2,0.0,37.32,68.6,15.0,15.0,0.0075,0.0722,0.28,0.4173,0.4224,0.2747,0.9221,15.0,15.0,15.0,15.0,15.0,0.0097,0.0939,0.364,0.8921,0.5491,0.3571,0.9299,False,False,False,False,False,0.9299
P09,desk,9,v1,Study,2,sampling,False,R2 165m Cliveden Place,19:40:50,14,29.6,41.0,54.1,1,0.0,44.72,56.6,10.0,33.3,0.1122,0.5676,0.403,0.0661,0.0347,0.6031,0.5611,10.0,10.0,20.0,20.0,60.0,0.1459,0.7379,0.5239,0.6463,0.0451,0.784,0.605,False,True,False,False,True,0.605
P09,desk,9,v1,Study,3,sampling,True,R3 283m Basil Street → Hans Road → Brompton Road,19:42:19,67,88.4,15.3,51.5,12,0.0,40.35,39.1,20.0,56.7,0.6993,0.2856,0.1777,0.7492,0.2074,0.999,0.7,20.0,20.0,50.0,55.0,65.0,0.9091,0.3713,0.231,1.1244,0.2696,1.2987,0.73,True,False,False,False,True,0.73
P09,desk,9,v1,Study,4,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,19:43:00,27,41.2,20.9,44.6,5,0.0,53.93,39.8,30.0,63.3,0.7329,0.2211,0.3784,0.4701,0.6495,0.623,0.6996,20.0,40.0,60.0,65.0,65.0,0.9528,0.2874,0.4919,0.9291,0.8443,0.8099,0.7296,True,False,False,True,True,0.7296
P09,desk,9,v1,Study,5,sampling,True,R1 215m Draycott Place,19:43:34,16,33.6,45.5,53.6,0,0.0,38.06,54.5,30.0,63.3,0.1382,0.0829,0.6802,0.1272,0.6232,0.924,0.3211,15.0,45.0,80.0,45.0,65.0,0.1797,0.1078,0.8843,0.689,0.8102,1.2012,0.389,False,False,True,True,True,0.4
P09,desk,9,v1,Study,6,sampling,False,R2 165m Cliveden Place,19:44:01,13,27.1,42.6,53.9,3,0.0,43.57,54.2,20.0,18.3,0.4586,0.188,0.2544,0.4893,0.0781,0.5295,0.4287,20.0,20.0,0.0,5.0,50.0,0.5962,0.2444,0.3307,0.9425,0.1015,0.6884,0.4858,False,False,False,False,True,0.4858
P09,desk,9,v1,Study,7,sampling,True,R3 283m Basil Street → Hans Road → Brompton Road,19:44:51,37,50.2,27.0,52.0,7,0.0,39.73,48.6,30.0,71.7,0.2966,0.6855,0.4698,0.9581,0.004,0.3478,0.3889,15.0,45.0,85.0,65.0,65.0,0.3856,0.8911,0.6107,1.2707,0.0052,0.4521,0.45,False,True,True,False,False,0.45
P09,desk,9,v1,Study,8,sampling,True,R7 170m Astell Street → Burnsall Street → King's Road,19:45:23,20,32.0,26.7,45.7,2,0.0,52.54,45.9,42.5,85.0,0.7884,0.2196,0.9583,0.3835,0.5958,0.0787,0.5178,25.0,60.0,95.0,75.0,85.0,1.0249,0.2855,1.2458,0.8684,0.7745,0.1023,0.566,True,False,True,True,False,0.566
P09,desk,9,v1,Study,9,sampling,False,R1 215m Draycott Place,19:45:56,17,32.4,44.3,53.7,2,0.0,35.44,55.2,45.0,55.0,0.359,0.0499,0.6884,0.9299,0.1855,0.5155,0.5041,30.0,60.0,40.0,50.0,75.0,0.4667,0.0649,0.8949,1.2509,0.2412,0.6702,0.5537,False,False,True,False,True,0.5537
P09,desk,9,v1,Study,10,sampling,False,R2 165m Cliveden Place,19:46:21,14,25.4,41.0,54.2,0,0.0,44.37,54.5,22.5,48.3,0.7663,0.3603,0.0206,0.5688,0.2811,0.333,0.5524,25.0,20.0,40.0,50.0,55.0,0.9962,0.4684,0.0268,0.9982,0.3654,0.4329,0.5972,True,False,False,False,False,0.5972
